alumno,grupo,salto horizontal,lanzamiento de peso,salto de altura,disco,pértiga,jabalina
Torres,A,7.58,14.83,2.07,43.75,5.02,63.19
Delgado,A,7.4,14.26,1.86,50.72,4.92,60.15
Ramírez,A,7.3,14.77,2.04,48.95,4.92,50.31
Díaz,A,7.23,14.25,1.92,40.87,5.32,62.77
Sánchez,A,7.09,15.19,2.1,46.26,4.72,
Miranda,A,7.6,14.31,1.98,41.1,4.92,51.77
Rodríguez,A,7.3,13.48,2.01,45.67,4.42,55.37
Vargas,A,7.31,13.76,2.13,44.41,4.42,-56.37
Castro,A,6.81,14.57,1.95,47.6,4.92,52.33
Pérez,A,7.56,14.41,1.86,44.99,4.82,57.19
Reyes,A,6.97,14.09,1.95,42.1,4.72,55.4
Pacheco,A,7.27,-12.68,1.98,37.92,4.62,57.44
Moreno,A,6.8,13.46,-1.86,40.49,5.02,54.68
